"","emotion","value","date","protests"
"97","disgust",0.142271485075087,1961-04-01,1.38629436111989
"98","disgust",0.273672163166623,1961-05-01,2.94443897916644
"99","disgust",0.391040840921325,1961-06-01,2.56494935746154
"100","disgust",0.350262445343446,1961-07-01,2.77258872223978
"101","disgust",0.428940452576687,1961-08-01,2.19722457733622
"102","disgust",0.4236268502338,1961-09-01,2.07944154167984
"103","disgust",0.287100940049088,1961-10-01,1.38629436111989
"104","disgust",0.163543593102666,1961-11-01,1.79175946922805
"105","disgust",0.278591958474645,1961-12-01,1.38629436111989
"106","disgust",0.318360034152625,1961-12-16,1.38629436111989
"107","disgust",0.461378975289263,1962-01-01,2.07944154167984
"108","disgust",0.464052036682834,1962-02-01,2.39789527279837
"109","disgust",0.390356074313919,1962-03-01,2.484906649788
