"X","date","variable","value","nprotest"
96,"1961-03-01","sadness",0.326636123732816,2.56494935746154
97,"1961-04-01","sadness",0.129751996731185,1.38629436111989
98,"1961-05-01","sadness",0.376104332524942,2.94443897916644
99,"1961-06-01","sadness",0.315367064872423,2.56494935746154
100,"1961-07-01","sadness",0.278187406564141,2.77258872223978
101,"1961-08-01","sadness",0.20424130949207,2.19722457733622
102,"1961-09-01","sadness",0.0720328524392222,2.07944154167984
103,"1961-10-01","sadness",0.375977220728913,1.38629436111989
104,"1961-11-01","sadness",0.0892516746965256,1.79175946922805
105,"1961-12-01","sadness",0.237591447525418,1.38629436111989
106,"1961-12-01","sadness",0.221160203413259,1.38629436111989
107,"1962-01-01","sadness",0.258863074707617,2.07944154167984
108,"1962-02-01","sadness",0.6462369788616,2.39789527279837
109,"1962-03-01","sadness",0.652150624066807,2.484906649788
